
0.05	0.326	0.183	0.380	4	0.282	0.278	0.369	4	0.379	0.340	0.392	4	0.088	0.024	0.126	4
0.10	0.253	-0.002	0.450	11	0.356	0.156	0.564	14	0.453	0.323	0.705	14	0.135	-0.271	0.242	14
0.15	0.159	-0.170	0.756	25	0.358	-0.101	0.681	31	0.410	0.219	0.569	31	0.056	-0.229	0.258	29
0.20	0.225	-0.180	0.814	29	0.397	0.091	0.826	33	0.362	0.158	0.530	33	0.092	-0.151	0.295	33
0.25	0.153	-0.245	0.458	39	0.348	0.038	0.846	42	0.236	-0.023	0.447	42	0.243	-0.017	0.571	42
0.30	0.208	-0.129	0.615	36	0.385	-0.056	0.784	41	0.154	-0.094	0.339	39	0.486	0.241	0.627	39
0.35	0.131	-0.132	0.677	59	0.254	-0.168	0.956	66	0.092	-0.165	0.364	66	0.513	0.295	0.788	63
0.40	0.183	-0.105	0.492	46	0.095	-0.236	0.725	49	0.122	-0.133	0.411	49	0.370	0.011	0.723	48
0.45	0.239	0.021	0.466	42	0.103	-0.231	0.596	52	0.189	-0.007	0.563	51	0.197	-0.133	0.487	47
0.50	0.278	0.036	0.576	45	-0.059	-0.306	0.458	58	0.214	0.029	0.512	58	0.097	-0.087	0.330	57
0.55	0.322	0.127	0.537	40	-0.084	-0.259	0.267	42	0.179	0.031	0.456	42	0.032	-0.195	0.292	40
0.60	0.339	0.138	0.519	35	-0.068	-0.302	0.458	39	0.161	-0.087	0.548	39	-0.039	-0.197	0.151	38
0.65	0.318	0.109	0.555	48	-0.019	-0.270	0.316	56	0.125	-0.073	0.539	55	-0.017	-0.282	0.221	52
0.70	0.329	0.108	0.567	39	0.015	-0.132	0.227	43	0.019	-0.202	0.216	43	0.129	-0.053	0.345	41
0.75	0.285	0.074	0.517	56	0.040	-0.197	0.377	62	-0.002	-0.247	0.403	62	0.136	-0.100	0.387	61
0.80	0.295	0.113	0.722	53	0.041	-0.213	0.342	57	-0.069	-0.220	0.147	57	0.139	0.008	0.311	55
0.85	0.231	0.009	0.527	46	0.058	-0.105	0.196	48	-0.041	-0.289	0.144	48	0.125	-0.027	0.331	45
0.90	0.250	-0.047	0.548	47	0.119	-0.107	0.297	54	-0.069	-0.192	0.091	54	0.127	-0.027	0.314	50
0.95	0.138	-0.093	0.362	51	0.159	-0.014	0.342	57	-0.056	-0.180	0.083	57	0.092	-0.038	0.213	54
1.00	0.157	-0.026	0.377	41	0.239	0.066	0.418	45	-0.039	-0.211	0.089	44	0.032	-0.137	0.194	39
1.05	0.152	-0.074	0.399	57	0.230	0.025	0.463	65	-0.045	-0.166	0.149	64	0.030	-0.147	0.203	57
1.10	0.114	-0.072	0.362	51	0.214	0.064	0.457	56	-0.042	-0.162	0.079	56	-0.065	-0.268	0.124	49
1.15	0.082	-0.151	0.397	57	0.249	0.010	0.539	62	0.010	-0.146	0.158	62	-0.074	-0.310	0.147	57
